iter	Logloss
0	0.6854771075
1	0.6768531718
2	0.6684303285
3	0.6625601752
4	0.6552421601
5	0.6488084014
6	0.6415965398
7	0.6368849892
8	0.6312726409
9	0.6248973965
10	0.618404255
11	0.6126156657
12	0.6066139995
13	0.6005690857
14	0.5947991003
15	0.5893765696
16	0.5838788045
17	0.5778124912
18	0.5722520887
19	0.5663713099
20	0.561543962
21	0.5563661823
22	0.5510782759
23	0.5464503685
24	0.5411194943
25	0.5389442526
26	0.5333909204
27	0.529003065
28	0.5243142072
29	0.5194024621
30	0.5143259575
31	0.511297293
32	0.5068293649
33	0.5025505898
34	0.4980205243
35	0.4926127266
36	0.4886949172
37	0.4847939329
38	0.481067107
39	0.4758643683
40	0.4730952783
41	0.4699091411
42	0.4665961952
43	0.463253922
44	0.4601658796
45	0.4576066787
46	0.4552460287
47	0.4524012247
48	0.449010149
49	0.4472727889
50	0.4435578184
51	0.4403559514
52	0.4388596248
53	0.4350506239
54	0.4318351616
55	0.4289440335
56	0.4258876203
57	0.4228874619
58	0.4203229345
59	0.4171819352
60	0.4140565744
61	0.4117750792
62	0.4094023972
63	0.4086358627
64	0.4059293033
65	0.4032128374
66	0.4001938455
67	0.3975333807
68	0.3955139699
69	0.3942459101
70	0.3908947034
71	0.3884582201
72	0.3863216193
73	0.3836859689
74	0.3815917091
75	0.3789001579
76	0.3760338067
77	0.3734606975
78	0.3711516236
79	0.3684343877
80	0.3668145238
81	0.364808396
82	0.3641944305
83	0.3621167825
84	0.3611498737
85	0.3593126432
86	0.3574450964
87	0.3555319878
88	0.3540308782
89	0.3529502399
90	0.3513624458
91	0.3505461968
92	0.3483059741
93	0.3464194285
94	0.3451473909
95	0.3427484052
96	0.3411688455
97	0.339803835
98	0.337405731
99	0.3350731059
100	0.3338930676
101	0.3322370425
102	0.3309325081
103	0.328934999
104	0.3276739857
105	0.3263003223
106	0.3256635297
107	0.3240975151
108	0.322788694
109	0.3209882504
110	0.3192848583
111	0.3171644831
112	0.3159648674
113	0.3143646024
114	0.313032786
115	0.3116483053
116	0.3108767806
117	0.3093288302
118	0.3079587384
119	0.3065251831
120	0.3056834246
121	0.304850538
122	0.3037456873
123	0.3022722764
124	0.3008646316
125	0.299565523
126	0.2987570722
127	0.2980541651
128	0.2967108714
129	0.2950244345
130	0.2941385675
131	0.2927851996
132	0.2916861242
133	0.2915260142
134	0.2899718305
135	0.2896053489
136	0.2889011267
137	0.28869237
138	0.2871787754
139	0.2856121432
140	0.2845550713
141	0.2833745671
142	0.2825137179
143	0.2815950633
144	0.2807069717
145	0.2797548563
146	0.2789050949
147	0.2779901971
148	0.2770284346
149	0.2762205583
150	0.275290809
151	0.2745736786
152	0.2731234309
153	0.2721787862
154	0.2718670493
155	0.2709086713
156	0.2702018545
157	0.2694400138
158	0.2685858438
159	0.2679397582
160	0.2673391112
161	0.2671814674
162	0.2663523549
163	0.2661075279
164	0.2649845935
165	0.2642883086
166	0.2640277441
167	0.2630483621
168	0.2624437688
169	0.2620660579
170	0.2608564832
171	0.2602620817
172	0.2597845263
173	0.2586112357
174	0.2580044979
175	0.2573985435
176	0.2572111338
177	0.256210428
178	0.2556487057
179	0.2549108123
180	0.2542709067
181	0.2539803738
182	0.2528817121
183	0.2522468555
184	0.2512848805
185	0.2505907175
186	0.2501560931
187	0.2492681866
188	0.2485124519
189	0.2481178382
190	0.247617309
191	0.2467926167
192	0.246284414
193	0.245505322
194	0.2448626711
195	0.2440578957
196	0.2435698154
197	0.2433855611
198	0.2432487998
199	0.2427642309
